audio_path,emotion
datasets/ravdess\Actor_19\03-01-01-01-02-01-19.wav,neutral
datasets/ravdess\Actor_04\03-01-04-02-02-01-04.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_24\03-01-03-02-02-01-24.wav,happy
datasets/ravdess\Actor_02\03-01-05-02-01-02-02.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-03-02-01-02-23.wav,happy
datasets/ravdess\Actor_07\03-01-05-02-02-02-07.wav,angry
datasets/ravdess\Actor_11\03-01-04-01-02-02-11.wav,sad
datasets/ravdess\Actor_16\03-01-03-01-02-01-16.wav,happy
datasets/ravdess\Actor_12\03-01-03-02-02-01-12.wav,happy
datasets/ravdess\Actor_10\03-01-05-01-01-02-10.wav,angry
datasets/ravdess\Actor_19\03-01-01-01-01-02-19.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_07\03-01-02-01-01-01-07.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_17\03-01-05-02-01-01-17.wav,angry
datasets/ravdess\Actor_03\03-01-01-01-01-02-03.wav,neutral
datasets/ravdess\Actor_14\03-01-03-02-01-02-14.wav,happy
datasets/ravdess\Actor_04\03-01-01-01-01-02-04.wav,neutral
datasets/ravdess\Actor_23\03-01-06-01-01-02-23.wav,stress
datasets/ravdess\Actor_12\03-01-04-02-01-01-12.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_21\03-01-08-01-02-01-21.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_19\03-01-05-01-02-02-19.wav,angry
datasets/ravdess\Actor_11\03-01-02-01-02-02-11.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_22\03-01-08-02-01-01-22.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_07\03-01-04-01-02-02-07.wav,sad
datasets/ravdess\Actor_24\03-01-07-02-02-01-24.wav,stress
datasets/ravdess\Actor_12\03-01-07-01-02-02-12.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-04-02-02-02-18.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-08-01-01-02-06.wav,stress
datasets/ravdess\Actor_11\03-01-04-02-02-02-11.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-05-02-02-02-18.wav,angry
datasets/ravdess\Actor_22\03-01-08-02-01-02-22.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-06-02-01-01-09.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_08\03-01-07-01-01-02-08.wav,stress
datasets/ravdess\Actor_01\03-01-03-02-02-01-01.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_22\03-01-04-01-01-02-22.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-04-01-01-02-09.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_19\03-01-04-02-01-01-19.wav,sad
datasets/ravdess\Actor_10\03-01-04-02-02-02-10.wav,sad
datasets/ravdess\Actor_07\03-01-06-01-01-01-07.wav,stress
datasets/ravdess\Actor_02\03-01-05-01-02-02-02.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-05-02-02-01-10.wav,angry
datasets/ravdess\Actor_24\03-01-02-02-01-01-24.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-05-02-02-02-20.wav,angry
datasets/ravdess\Actor_22\03-01-05-01-01-02-22.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-03-01-02-02-18.wav,happy
datasets/ravdess\Actor_09\03-01-07-02-01-01-09.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_16\03-01-05-02-01-01-16.wav,angry
datasets/ravdess\Actor_10\03-01-02-02-01-01-10.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_13\03-01-03-01-02-01-13.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,neutral
datasets/ravdess\Actor_20\03-01-02-02-02-01-20.wav,neutral
datasets/ravdess\Actor_17\03-01-02-01-01-02-17.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_12\03-01-05-01-01-01-12.wav,angry
datasets/ravdess\Actor_08\03-01-04-01-02-02-08.wav,sad
datasets/ravdess\Actor_15\03-01-04-02-01-01-15.wav,sad
datasets/ravdess\Actor_12\03-01-02-02-02-01-12.wav,neutral
datasets/ravdess\Actor_13\03-01-08-01-02-02-13.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-07-02-02-02-18.wav,stress
datasets/ravdess\Actor_12\03-01-03-01-01-01-12.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_07\03-01-02-01-02-01-07.wav,neutral
datasets/ravdess\Actor_22\03-01-03-02-01-01-22.wav,happy
datasets/ravdess\Actor_04\03-01-04-02-02-02-04.wav,sad
datasets/ravdess\Actor_21\03-01-07-01-02-01-21.wav,stress
datasets/ravdess\Actor_23\03-01-06-02-02-02-23.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-07-02-02-02-10.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_17\03-01-05-02-01-02-17.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_22\03-01-05-02-01-02-22.wav,angry
datasets/ravdess\Actor_06\03-01-03-02-01-01-06.wav,happy
datasets/ravdess\Actor_12\03-01-06-01-01-02-12.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,sad
datasets/ravdess\Actor_08\03-01-01-01-02-01-08.wav,neutral
datasets/ravdess\Actor_12\03-01-02-01-02-01-12.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-04-02-01-02-09.wav,sad
datasets/ravdess\Actor_12\03-01-04-01-01-01-12.wav,sad
datasets/ravdess\Actor_09\03-01-03-02-02-02-09.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-07-01-02-02-20.wav,stress
datasets/ravdess\Actor_16\03-01-02-02-01-01-16.wav,neutral
datasets/ravdess\Actor_04\03-01-04-01-01-01-04.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-02-02-02-01-06.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-05-02-02-02-09.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_15\03-01-08-01-02-02-15.wav,stress
datasets/ravdess\Actor_24\03-01-02-02-02-02-24.wav,neutral
datasets/ravdess\Actor_20\03-01-06-01-02-01-20.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_24\03-01-01-01-02-01-24.wav,neutral
datasets/ravdess\Actor_02\03-01-03-01-02-02-02.wav,happy
datasets/ravdess\Actor_02\03-01-02-02-01-01-02.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-07-01-01-01-20.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,stress
datasets/ravdess\Actor_12\03-01-05-02-02-01-12.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_08\03-01-01-01-01-02-08.wav,neutral
datasets/ravdess\Actor_18\03-01-02-02-01-02-18.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-08-01-02-02-06.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-07-01-02-02-23.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_11\03-01-05-01-02-02-11.wav,angry
datasets/ravdess\Actor_15\03-01-05-01-02-02-15.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_14\03-01-05-01-01-01-14.wav,angry
datasets/ravdess\Actor_24\03-01-07-01-01-02-24.wav,stress
datasets/ravdess\Actor_06\03-01-02-01-01-01-06.wav,neutral
datasets/ravdess\Actor_07\03-01-03-01-02-02-07.wav,happy
datasets/ravdess\Actor_09\03-01-06-02-02-02-09.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_12\03-01-03-01-01-01-12.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_14\03-01-03-02-02-02-14.wav,happy
datasets/ravdess\Actor_17\03-01-04-01-02-02-17.wav,sad
datasets/ravdess\Actor_24\03-01-04-01-01-02-24.wav,sad
datasets/ravdess\Actor_07\03-01-03-02-01-02-07.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_16\03-01-06-02-02-02-16.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-05-02-01-01-20.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-03-01-02-02-23.wav,happy
datasets/ravdess\Actor_03\03-01-06-02-02-01-03.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-05-01-01-01-20.wav,angry
datasets/ravdess\Actor_20\03-01-08-02-02-02-20.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_05\03-01-08-01-01-02-05.wav,stress
datasets/ravdess\Actor_09\03-01-05-02-01-02-09.wav,angry
datasets/ravdess\Actor_15\03-01-02-01-01-01-15.wav,neutral
datasets/ravdess\Actor_08\03-01-02-01-02-02-08.wav,neutral
datasets/ravdess\Actor_15\03-01-04-02-01-02-15.wav,sad
datasets/ravdess\Actor_01\03-01-04-02-01-02-01.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-01-01-02-02-06.wav,neutral
datasets/ravdess\Actor_11\03-01-02-01-02-01-11.wav,neutral
datasets/ravdess\Actor_24\03-01-05-02-02-01-24.wav,angry
datasets/ravdess\Actor_20\03-01-02-02-02-02-20.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_05\03-01-06-01-02-02-05.wav,stress
datasets/ravdess\Actor_12\03-01-03-01-01-02-12.wav,happy
datasets/ravdess\Actor_06\03-01-02-02-01-01-06.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-05-01-01-01-10.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_19\03-01-03-01-02-01-19.wav,happy
datasets/ravdess\Actor_12\03-01-05-01-02-01-12.wav,angry
datasets/ravdess\Actor_14\03-01-03-01-02-01-14.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-02-02-02-02-06.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_13\03-01-01-01-02-02-13.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_17\03-01-01-01-01-02-17.wav,neutral
datasets/ravdess\Actor_15\03-01-05-02-02-01-15.wav,angry
datasets/ravdess\Actor_07\03-01-04-02-01-01-07.wav,sad
datasets/ravdess\Actor_02\03-01-03-01-01-01-02.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,neutral
datasets/ravdess\Actor_11\03-01-02-02-01-01-11.wav,neutral
datasets/ravdess\Actor_14\03-01-02-02-02-01-14.wav,neutral
datasets/ravdess\Actor_05\03-01-05-01-02-01-05.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-04-02-01-02-23.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-03-01-01-02-06.wav,happy
datasets/ravdess\Actor_04\03-01-03-01-01-01-04.wav,happy
datasets/ravdess\Actor_13\03-01-01-01-01-01-13.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-04-01-02-01-10.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_15\03-01-03-01-02-02-15.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_21\03-01-04-02-02-02-21.wav,sad
datasets/ravdess\Actor_16\03-01-06-02-01-02-16.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_16\03-01-05-01-02-02-16.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_11\03-01-02-01-01-02-11.wav,neutral
datasets/ravdess\Actor_19\03-01-06-02-02-02-19.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-02-01-02-02-18.wav,neutral
datasets/ravdess\Actor_05\03-01-03-02-02-02-05.wav,happy
datasets/ravdess\Actor_09\03-01-06-01-01-01-09.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_13\03-01-02-02-02-02-13.wav,neutral
datasets/ravdess\Actor_22\03-01-04-02-01-01-22.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-03-01-02-01-18.wav,happy
datasets/ravdess\Actor_14\03-01-08-01-01-01-14.wav,stress
datasets/ravdess\Actor_14\03-01-01-01-02-02-14.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_07\03-01-06-02-01-01-07.wav,stress
datasets/ravdess\Actor_15\03-01-02-02-02-01-15.wav,neutral
datasets/ravdess\Actor_14\03-01-06-01-02-01-14.wav,stress
datasets/ravdess\Actor_07\03-01-03-01-02-01-07.wav,happy
datasets/ravdess\Actor_16\03-01-06-01-02-02-16.wav,stress
datasets/ravdess\Actor_11\03-01-01-01-01-01-11.wav,neutral
datasets/ravdess\Actor_15\03-01-07-01-01-01-15.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_14\03-01-01-01-01-02-14.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_11\03-01-04-01-01-02-11.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_21\03-01-05-02-01-01-21.wav,angry
datasets/ravdess\Actor_07\03-01-04-01-02-02-07.wav,sad
datasets/ravdess\Actor_03\03-01-04-02-02-02-03.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,neutral
datasets/ravdess\Actor_08\03-01-05-01-01-02-08.wav,angry
datasets/ravdess\Actor_13\03-01-01-01-01-02-13.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-02-01-01-02-09.wav,neutral
datasets/ravdess\Actor_17\03-01-04-02-02-01-17.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_05\03-01-05-01-01-01-05.wav,angry
datasets/ravdess\Actor_11\03-01-07-01-01-01-11.wav,stress
datasets/ravdess\Actor_10\03-01-01-01-01-01-10.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_15\03-01-06-02-02-01-15.wav,stress
datasets/ravdess\Actor_04\03-01-03-02-01-01-04.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-08-01-01-01-10.wav,stress
datasets/ravdess\Actor_06\03-01-02-01-01-02-06.wav,neutral
datasets/ravdess\Actor_17\03-01-05-01-01-02-17.wav,angry
datasets/ravdess\Actor_18\03-01-01-01-01-02-18.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,stress
datasets/ravdess\Actor_02\03-01-05-01-01-02-02.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_13\03-01-07-01-02-02-13.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_16\03-01-01-01-02-01-16.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_09\03-01-03-02-02-02-09.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-08-01-02-01-20.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_06\03-01-03-02-01-02-06.wav,happy
datasets/ravdess\Actor_13\03-01-05-02-01-01-13.wav,angry
datasets/ravdess\Actor_21\03-01-04-01-02-01-21.wav,sad
datasets/ravdess\Actor_19\03-01-01-01-02-02-19.wav,neutral
datasets/ravdess\Actor_07\03-01-01-01-02-02-07.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,neutral
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-03-01-02-01-10.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_05\03-01-03-01-02-01-05.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_20\03-01-02-02-01-01-20.wav,neutral
datasets/ravdess\Actor_06\03-01-05-02-01-01-06.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_10\03-01-08-02-01-01-10.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-08-01-02-02-04.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,happy
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-05-02-01-02-23.wav,angry
datasets/ravdess\Actor_13\03-01-01-01-02-02-13.wav,neutral
datasets/ravdess\Actor_04\03-01-06-02-01-01-04.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_07\03-01-04-02-01-01-07.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,sad
datasets/ravdess\audio_speech_actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,angry
datasets/ravdess\Actor_19\03-01-06-01-01-02-19.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_18\03-01-06-02-01-02-18.wav,stress
datasets/ravdess\Actor_06\03-01-05-01-02-01-06.wav,angry
datasets/ravdess\audio_speech_actors_01-24\Actor_21\03-01-05-01-01-02-21.wav,angry
datasets/ravdess\Actor_09\03-01-02-02-02-02-09.wav,neutral
datasets/ravdess\Actor_09\03-01-03-02-02-01-09.wav,happy
datasets/ravdess\Actor_22\03-01-02-02-02-02-22.wav,neutral
datasets/ravdess\Actor_21\03-01-03-02-01-01-21.wav,happy
datasets/ravdess\Actor_05\03-01-07-02-02-01-05.wav,stress
datasets/ravdess\audio_speech_actors_01-24\Actor_23\03-01-06-02-02-01-23.wav,stress
